Player 1,Player 2,Player 2 Win % (Trick),Player 2 Win % (Total),Draw % (Trick),Draw % (Total)
BBB,BBB,0.0,0.0,0.001318,0.001318
BBB,BBR,0.438433,0.504143,0.154781,0.020203
BBB,BRB,0.665141,0.707414,0.122638,0.016728
BBB,BRR,0.767016,0.799242,0.118864,0.020659
BBB,RBB,0.995034,0.999973,0.003703,0.0
BBB,RBR,0.694267,0.725486,0.136922,0.020964
BBB,RRB,0.967147,0.988311,0.024381,0.00246
BBB,RRR,0.324925,0.484312,0.350549,0.029466
BBR,BBB,0.406786,0.475654,0.154781,0.020203
BBR,BBR,0.0,0.0,0.0,0.0
BBR,BRB,0.116568,0.123105,0.083558,0.013075
BBR,BRR,0.051014,0.036735,0.065831,0.008275
BBR,RBB,0.935108,0.997552,0.038714,0.000447
BBR,RBR,0.114123,0.069387,0.092208,0.01397
BBR,RRB,0.406535,0.477058,0.184954,0.045291
BBR,RRR,0.00843,0.008981,0.02436,0.002409
BRB,BBB,0.212221,0.275858,0.122638,0.016728
BRB,BBR,0.799874,0.86382,0.083558,0.013075
BRB,BRB,0.0,0.0,0.000753,0.000753
BRB,BRR,0.427436,0.48241,0.136937,0.028431
BRB,RBB,0.439151,0.557403,0.135316,0.02182
BRB,RBR,0.404387,0.489271,0.188291,0.023583
BRB,RRB,0.789486,0.917916,0.097615,0.013617
BRB,RRR,0.167448,0.251147,0.138734,0.022493
BRR,BBB,0.11412,0.180099,0.118864,0.020659
BRR,BBR,0.883155,0.95499,0.065831,0.008275
BRR,BRB,0.435627,0.489159,0.136937,0.028431
BRR,BRR,0.0,0.0,0.0,0.0
BRR,RBB,0.431162,0.487089,0.137529,0.029169
BRR,RBR,0.425033,0.423051,0.135434,0.021199
BRR,RRB,0.026421,0.00197,0.039856,0.000431
BRR,RRR,0.001251,1.3e-05,0.003644,0.0
RBB,BBB,0.001263,2.7e-05,0.003703,0.0
RBB,BBR,0.026178,0.002001,0.038714,0.000447
RBB,BRB,0.425533,0.420777,0.135316,0.02182
RBB,BRR,0.431309,0.483742,0.137529,0.029169
RBB,RBB,0.0,0.0,0.0,0.0
RBB,RBR,0.430973,0.48779,0.139581,0.028798
RBB,RRB,0.883547,0.956714,0.064617,0.007976
RBB,RRR,0.112875,0.175039,0.119108,0.020657
RBR,BBB,0.168811,0.25355,0.136922,0.020964
RBR,BBR,0.793669,0.916643,0.092208,0.01397
RBR,BRB,0.407322,0.487146,0.188291,0.023583
RBR,BRR,0.439533,0.55575,0.135434,0.021199
RBR,RBB,0.429446,0.483412,0.139581,0.028798
RBR,RBR,0.0,0.0,0.000578,0.000578
RBR,RRB,0.800218,0.861482,0.083018,0.013341
RBR,RRR,0.214149,0.277558,0.12388,0.016475
RRB,BBB,0.008472,0.009229,0.024381,0.00246
RRB,BBR,0.408511,0.477651,0.184954,0.045291
RRB,BRB,0.112899,0.068467,0.097615,0.013617
RRB,BRR,0.933723,0.997599,0.039856,0.000431
RRB,RBB,0.051836,0.03531,0.064617,0.007976
RRB,RBR,0.116764,0.125177,0.083018,0.013341
RRB,RRB,0.0,0.0,0.0,0.0
RRB,RRR,0.406477,0.473991,0.15549,0.020442
RRR,BBB,0.324526,0.486222,0.350549,0.029466
RRR,BBR,0.96721,0.98861,0.02436,0.002409
RRR,BRB,0.693818,0.72636,0.138734,0.022493
RRR,BRR,0.995105,0.999987,0.003644,0.0
RRR,RBB,0.768017,0.804304,0.119108,0.020657
RRR,RBR,0.661971,0.705967,0.12388,0.016475
RRR,RRB,0.438033,0.505567,0.15549,0.020442
RRR,RRR,0.0,0.0,0.001478,0.001478
