Player 1,Player 2,Player 2 Win % (Trick),Player 2 Win % (Total),Draw % (Trick),Draw % (Total)
BBB,BBB,0.0,0.0,0.001347,0.001347
BBB,BBR,0.438421,0.503934,0.15474,0.020275
BBB,BRB,0.665047,0.70722,0.122567,0.016721
BBB,BRR,0.767002,0.79937,0.118847,0.020682
BBB,RBB,0.995053,0.999974,0.003684,0.0
BBB,RBR,0.694091,0.725438,0.13693,0.020951
BBB,RRB,0.967165,0.988359,0.024393,0.002469
BBB,RRR,0.324882,0.484377,0.350445,0.029465
BBR,BBB,0.406839,0.475791,0.15474,0.020275
BBR,BBR,0.0,0.0,0.0,0.0
BBR,BRB,0.116626,0.123037,0.083332,0.013095
BBR,BRR,0.051036,0.036698,0.065827,0.008286
BBR,RBB,0.935153,0.99755,0.038676,0.000435
BBR,RBR,0.114238,0.069421,0.09219,0.013955
BBR,RRB,0.406472,0.477098,0.184988,0.045313
BBR,RRR,0.008429,0.008993,0.024432,0.002391
BRB,BBB,0.212386,0.276059,0.122567,0.016721
BRB,BBR,0.800042,0.863868,0.083332,0.013095
BRB,BRB,0.0,0.0,0.00075,0.00075
BRB,BRR,0.427387,0.482232,0.137048,0.028539
BRB,RBB,0.43934,0.557595,0.135276,0.021812
BRB,RBR,0.404495,0.489093,0.188116,0.023623
BRB,RRB,0.789628,0.917931,0.097464,0.013601
BRB,RRR,0.167594,0.251338,0.138798,0.022401
BRR,BBB,0.114151,0.179948,0.118847,0.020682
BRR,BBR,0.883137,0.955016,0.065827,0.008286
BRR,BRB,0.435565,0.489229,0.137048,0.028539
BRR,BRR,0.0,0.0,0.0,0.0
BRR,RBB,0.43109,0.486997,0.137653,0.029026
BRR,RBR,0.425021,0.422906,0.135306,0.021223
BRR,RRB,0.026437,0.001994,0.039854,0.000434
BRR,RRR,0.001249,1.3e-05,0.003634,0.0
RBB,BBB,0.001263,2.6e-05,0.003684,0.0
RBB,BBR,0.026171,0.002015,0.038676,0.000435
RBB,BRB,0.425384,0.420593,0.135276,0.021812
RBB,BRR,0.431257,0.483977,0.137653,0.029026
RBB,RBB,0.0,0.0,0.0,0.0
RBB,RBR,0.430974,0.48772,0.139507,0.028734
RBB,RRB,0.883607,0.95673,0.064601,0.007955
RBB,RRR,0.112924,0.175062,0.119181,0.020657
RBR,BBB,0.168979,0.253611,0.13693,0.020951
RBR,BBR,0.793572,0.916624,0.09219,0.013955
RBR,BRB,0.407389,0.487284,0.188116,0.023623
RBR,BRR,0.439673,0.555871,0.135306,0.021223
RBR,RBB,0.429519,0.483546,0.139507,0.028734
RBR,RBR,0.0,0.0,0.00057,0.00057
RBR,RRB,0.800122,0.861628,0.083065,0.013371
RBR,RRR,0.214053,0.27774,0.124053,0.016478
RRB,BBB,0.008442,0.009172,0.024393,0.002469
RRB,BBR,0.40854,0.477589,0.184988,0.045313
RRB,BRB,0.112908,0.068468,0.097464,0.013601
RRB,BRR,0.933709,0.997572,0.039854,0.000434
RRB,RBB,0.051792,0.035315,0.064601,0.007955
RRB,RBR,0.116813,0.125001,0.083065,0.013371
RRB,RRB,0.0,0.0,0.0,0.0
RRB,RRR,0.406383,0.474202,0.155435,0.020377
RRR,BBB,0.324673,0.486158,0.350445,0.029465
RRR,BBR,0.967139,0.988616,0.024432,0.002391
RRR,BRB,0.693608,0.726261,0.138798,0.022401
RRR,BRR,0.995117,0.999987,0.003634,0.0
RRR,RBB,0.767895,0.804281,0.119181,0.020657
RRR,RBR,0.661894,0.705782,0.124053,0.016478
RRR,RRB,0.438182,0.505421,0.155435,0.020377
RRR,RRR,0.0,0.0,0.001463,0.001463
